date,timestamp,NDVI,EVI,LST_day,LST_night,precip_7d,precip_15d,precip_30d,precip_60d,precip_90d,LST_range,LST_mean,NDVI_EVI_ratio,year,month,day_of_year,season,thermal_stress,NDVI_change,NDVI_rolling_mean_30d,ET_estimate,water_balance_7d,water_balance_15d,water_balance_30d,water_balance_60d,water_balance_90d
2015-02-02,1422835200000,0.6991017137524391,0.6184124289471453,28.347134130822116,22.339211843556487,20.64813892097178,34.86259674053008,83.8338960701549,188.530909333549,340.2466171505877,6.007922287265629,25.343172987189302,1.1304762817694085,2015,2,33,verano,0,-0.03683011305452977,0.7175167702797041,12.671586493594651,-68.05296653419079,-155.2112006633897,-296.3136987376846,-571.7642802821301,-800.1961672729308
2015-03-06,1425600000000,0.7321956816832103,0.5319744549079495,24.350587087469282,21.74754135912448,17.268958926393026,50.47897214386677,168.0110991211088,216.48730966427283,356.5420084546577,2.603045728344803,23.04906422329688,1.3763711745120006,2015,3,65,otoño,0,0.03309396793077113,0.7156486977178247,11.52453211164844,-63.40276585514606,-122.38900953085982,-177.7248642283444,-474.9846170346335,-680.6658815937019
2015-03-22,1426982400000,0.7280052430643926,0.42735929413760915,29.027912954950406,21.39056672605416,11.50947779022101,21.881519959538686,72.36049210340546,224.7552158211775,321.7461899290297,7.637346228896245,25.209239840502285,1.703492938045331,2015,3,81,otoño,0,-0.004190438618817627,0.7301004623738014,12.604619920251142,-76.72286165153699,-167.18777884422846,-305.7781055041288,-531.5219793938911,-812.669602893573
2015-04-07,1428364800000,0.7280570374141003,0.5536961992025112,27.12347925680835,20.95601340459831,6.965744163098605,20.82178519038518,42.70330514992384,209.86410830368203,256.63424694856684,6.167465852210039,24.03974633070333,1.3149010658943536,2015,4,97,otoño,0,5.179434970770114e-05,0.7280311402392465,12.019873165351665,-77.17336799436305,-159.4763122898898,-317.8928898106261,-511.3282816174179,-825.1543379330831
2015-04-23,1429747200000,0.7444231780775425,0.47642673284126585,23.995692712310202,16.14290913718506,8.63756017931911,23.494777952511214,44.316563142896385,94.92472721070564,261.807001797249,7.852783575125141,20.06930092474763,1.5625101705100914,2015,4,113,otoño,0,0.01636614066344222,0.7362401077458214,10.034650462373815,-61.60499305729759,-127.02497898309602,-256.7229507283181,-507.15430053172327,-641.3115398163943
2015-06-10,1433894400000,0.7369003902604563,0.46023917875625675,23.10660473402905,18.781602613048292,0.0,5.72628903528545,48.088352585866396,88.87886386788648,124.07813178670709,4.325002120980759,20.94410367353867,1.6011213802581084,2015,6,161,invierno,0,-0.007522787817086263,0.7406617841689994,10.472051836769335,-73.30436285738534,-151.35448851625458,-266.07320251721364,-539.4442463382736,-818.4065335225331
2015-06-26,1435276800000,0.6992195724102821,0.42895845422923545,23.364125274495482,18.19110630355478,7.647427558130288,18.401294280445644,30.908986363184802,93.43478818148904,123.89531029709889,5.173018970940703,20.77761578902513,1.6300365116480682,2015,6,177,invierno,0,-0.037680817850174186,0.7180599813353692,10.388807894512565,-65.07422770345767,-137.43082413724284,-280.7552504721922,-529.893685489265,-811.097400209032
2015-07-12,1436659200000,0.6799787053533554,0.4423889793840672,24.233752246062814,19.49168999745485,16.059035564395337,55.9719318429194,74.37322612336503,129.1765707344097,166.0185058047533,4.742062248607965,21.86272112175883,1.5370572052741325,2015,7,193,invierno,0,-0.019240867056926736,0.6895991388818188,10.931360560879416,-60.460488361760575,-107.99847657027182,-253.5675907030174,-526.7050629183552,-817.8039446743941
2015-07-28,1438041600000,0.6806541359124457,0.4339200050903536,27.193704080766963,21.05789853228136,0.0,33.63314623467398,89.60507807759338,120.51406444077821,183.0398662590825,6.135805548485603,24.12580130652416,1.5686130146447184,2015,7,209,invierno,0,0.000675430559090362,0.6803164206329005,12.06290065326208,-84.44030457283456,-147.31036356425722,-272.281941520269,-603.2599747549466,-902.6211925345048
2015-08-29,1440806400000,0.6641974039195725,0.4249113430050054,30.989558836005784,20.062529057436183,12.888210529163304,24.527147236616333,24.527147236616333,114.13222531420969,145.0412116773945,10.927029778569601,25.526043946720982,1.5631398213154482,2015,8,241,invierno,0,-0.01645673199287323,0.6724257699160091,12.763021973360491,-76.45294328436013,-166.91818236379103,-358.36351196419844,-651.6490930874198,-1003.6307659250498
2015-09-14,1442188800000,0.6735356070246881,0.4389101637397132,31.92601085942141,22.875555272758124,0.0,0.0,18.25713238142076,26.26732695661974,132.53351959465536,9.050455586663286,27.400783066089765,1.5345602086897792,2015,9,257,primavera,0,0.009338203105115572,0.6688665054721303,13.700391533044883,-95.90274073131418,-205.50587299567323,-392.7546136099257,-795.7561650260732,-1100.501718379384
2015-10-16,1444953600000,0.7125777806057519,0.47391118181046904,28.937633833884796,23.394671247985062,4.64042870106563,23.658119541376795,34.474853422761704,52.73198580418248,59.002000659378034,5.542962585899733,26.16615254093493,1.503607225042238,2015,10,289,primavera,0,0.03904217358106388,0.6930566938152201,13.083076270467465,-86.94110519220662,-172.58802451563517,-358.0174346912622,-732.2525904238654,-1118.474863682694
2015-11-17,1447718400000,0.723248835604623,0.6055909090909091,30.12730499075788,22.979875797826526,16.73327869305389,24.288633432021445,36.456891240344824,73.62141311730066,86.51213190903925,7.147429192931355,26.553590394292204,1.1942841784170068,2015,11,321,primavera,0,0.01067105499887111,0.7179133081051875,13.276795197146102,-76.20428768696883,-174.8632945251701,-361.84696467403825,-722.9862987114655,-1108.39943583411
2015-12-03,1449100800000,0.7108197472219865,0.5664129442700823,27.706382182931016,22.93225464415984,18.118551529033233,46.48924891818661,70.71653082773415,97.77735392901113,119.97124415940938,4.774127538771175,25.319318413545428,1.2549474715669207,2015,12,337,verano,0,-0.012429088382636566,0.7170342914133048,12.659659206772714,-70.49906291837576,-143.4056391834041,-309.0732453754473,-661.8021984773517,-1019.3980844501349
2016-01-01,1451606400000,0.7739443591512849,0.5577216491288597,25.119234060761677,22.054153872692805,14.666938212116529,48.99556542758964,87.1767807617997,158.0864332250753,189.79249410384978,3.0650801880688725,23.58669396672724,1.387686801603189,2016,1,1,verano,0,0.06312461192929841,0.7423820531866356,11.79334698336362,-67.8864906714288,-127.90463932286465,-266.6236287391089,-549.5143857767418,-871.6087343988759
2016-01-17,1452988800000,0.7507722270139727,0.48592368466448166,34.00533896843197,24.857219251336918,50.40907586659359,111.48752446110464,184.8744376076693,269.67667197313347,306.1335632134783,9.148119717095053,29.431279109884443,1.5450382553262578,2016,1,17,verano,0,-0.023172132137312174,0.7623582930826288,14.715639554942221,-52.60040101800197,-109.24706886302869,-256.5947490405973,-613.2617013233998,-1018.2739967313216
